time x y z
-1.154308617234468981e+00 2.226938272412942865e+01 2.076204916226831756e+02 3.013963412337636427e+01
-1.150300601202404849e+00 2.228943413098834370e+01 2.072769013388613928e+02 2.967631996564075436e+01
-1.146292585170340717e+00 2.230948553784726229e+01 2.069333110550396100e+02 2.921300580790514445e+01
-1.142284569138276584e+00 2.232953694470618089e+01 2.065897207712178272e+02 2.874969165016953454e+01
-1.138276553106212452e+00 2.234909026768349705e+01 2.062451232598775164e+02 2.829091013976171709e+01
-1.134268537074148320e+00 2.236798333993404242e+01 2.058991905864777436e+02 2.783813702232329490e+01
-1.130260521042084187e+00 2.238687641218458424e+01 2.055532579130779993e+02 2.738536390488487271e+01
-1.126252505010020055e+00 2.240576948443512961e+01 2.052073252396782550e+02 2.693259078744645407e+01
-1.122244488977956145e+00 2.242466255668567143e+01 2.048613925662785107e+02 2.647981767000805675e+01
-1.118236472945891791e+00 2.244296290248397696e+01 2.045159574497496351e+02 2.603420672340958220e+01
-1.114228456913827880e+00 2.246050886916125222e+01 2.041711555874201451e+02 2.559771126697112109e+01
-1.110220440881763526e+00 2.247805483583853103e+01 2.038263537250905983e+02 2.516121581053261380e+01
-1.106212424849699616e+00 2.249560080251580629e+01 2.034815518627611084e+02 2.472472035409415270e+01
-1.102204408817635262e+00 2.251314676919308511e+01 2.031367500004315616e+02 2.428822489765564541e+01
-1.098196392785571351e+00 2.253006204808997026e+01 2.027914645356808592e+02 2.385774785622129812e+01
-1.094188376753506997e+00 2.254620648636638336e+01 2.024455880013042304e+02 2.343462665534748979e+01
-1.090180360721443087e+00 2.256235092464279290e+01 2.020997114669276584e+02 2.301150545447372764e+01
-1.086172344689378733e+00 2.257849536291920245e+01 2.017538349325510296e+02 2.258838425359991930e+01
-1.082164328657314822e+00 2.259463980119561199e+01 2.014079583981744577e+02 2.216526305272615716e+01
-1.078156312625250468e+00 2.261012995194271369e+01 2.010599199437891400e+02 2.174596483990602636e+01
-1.074148296593186558e+00 2.262485202602497836e+01 2.007093435833067758e+02 2.133115448262721969e+01
-1.070140280561122204e+00 2.263957410010723947e+01 2.003587672228243264e+02 2.091634412534837040e+01
-1.066132264529058293e+00 2.265429617418950414e+01 2.000081908623419622e+02 2.050153376806956373e+01
-1.062124248496993939e+00 2.266901824827176526e+01 1.996576145018595412e+02 2.008672341079071089e+01
-1.058116232464930029e+00 2.268306201835993718e+01 1.993031254006998267e+02 1.967343934637575842e+01
-1.054108216432865675e+00 2.269634089245477071e+01 1.989442240600528748e+02 1.926187642072212114e+01
-1.050100200400801764e+00 2.270961976654960424e+01 1.985853227194059798e+02 1.885031349506853360e+01
-1.046092184368737410e+00 2.272289864064444131e+01 1.982264213787590279e+02 1.843875056941489987e+01
-1.042084168336673500e+00 2.273617751473927484e+01 1.978675200381121329e+02 1.802718764376130878e+01
-1.038076152304609145e+00 2.274875365165937069e+01 1.975028826330380411e+02 1.761475304754230464e+01
-1.034068136272545235e+00 2.276056848997349746e+01 1.971320311581679334e+02 1.720137414154419631e+01
-1.030060120240480881e+00 2.277238332828762424e+01 1.967611796832977689e+02 1.678799523554604534e+01
-1.026052104208416971e+00 2.278419816660175101e+01 1.963903282084276327e+02 1.637461632954793700e+01
-1.022044088176352838e+00 2.279601300491587779e+01 1.960194767335574966e+02 1.596123742354980557e+01
-1.018036072144288706e+00 2.280711979454785165e+01 1.956414853718556230e+02 1.554511728656961722e+01
-1.014028056112224574e+00 2.281748963555145338e+01 1.952560626993696360e+02 1.512614403162851318e+01
-1.010020040080160442e+00 2.282785947655505865e+01 1.948706400268836774e+02 1.470717077668740735e+01
-1.006012024048096309e+00 2.283822931755866392e+01 1.944852173543976903e+02 1.428819752174630331e+01
-1.002004008016032177e+00 2.284859915856226920e+01 1.940997946819117317e+02 1.386922426680519926e+01
-9.979959919839680449e-01 2.285833576867262451e+01 1.937077840602537435e+02 1.344813473983595209e+01
-9.939879759519039126e-01 2.286743914788973697e+01 1.933091854894237258e+02 1.302492894083856179e+01
-9.899799599198397804e-01 2.287654252710684943e+01 1.929105869185937365e+02 1.260172314184117326e+01
-9.859719438877756481e-01 2.288564590632395834e+01 1.925119883477637188e+02 1.217851734284378296e+01
-9.819639278557115158e-01 2.289474928554107080e+01 1.921133897769337295e+02 1.175531154384639443e+01
-9.779559118236473836e-01 2.290331815823869377e+01 1.917092951868165756e+02 1.133129703999186688e+01
-9.739478957915832513e-01 2.291137348545680297e+01 1.912999201075803910e+02 1.090650554519616655e+01
-9.699398797595191191e-01 2.291942881267491572e+01 1.908905450283442349e+02 1.048171405040046622e+01
-9.659318637274549868e-01 2.292748413989302492e+01 1.904811699491080503e+02 1.005692255560476767e+01
-9.619238476953908545e-01 2.293553946711113767e+01 1.900717948698718942e+02 9.632131060809067336e+00
-9.579158316633267223e-01 2.294316338037926428e+01 1.896580636890322467e+02 9.207891365292393715e+00
-9.539078156312625900e-01 2.295038906538587042e+01 1.892403114913278159e+02 8.784161022956357812e+00
-9.498997995991984578e-01 2.295761475039247301e+01 1.888225592936234136e+02 8.360430680620321908e+00
-9.458917835671343255e-01 2.296484043539907915e+01 1.884048070959190113e+02 7.936700338284286893e+00
-9.418837675350701932e-01 2.297206612040568174e+01 1.879870548982145806e+02 7.512969995948251878e+00
-9.378757515030060610e-01 2.297896785222755867e+01 1.875661345043890833e+02 7.091204893992564706e+00
-9.338677354709419287e-01 2.298558230481014775e+01 1.871424045781542702e+02 6.671182552374166796e+00
-9.298597194388777964e-01 2.299219675739273683e+01 1.867186746519194571e+02 6.251160210755769775e+00
-9.258517034068136642e-01 2.299881120997532591e+01 1.862949447256846724e+02 5.831137869137371865e+00
-9.218436873747495319e-01 2.300542566255791854e+01 1.858712147994498594e+02 5.411115527518974844e+00
-9.178356713426853997e-01 2.301174167187727093e+01 1.854446959524915428e+02 4.993868240796351721e+00
-9.138276553106212674e-01 2.301780345175016507e+01 1.850158013582502292e+02 4.578984889725685292e+00
-9.098196392785571351e-01 2.302386523162305920e+01 1.845869067640089440e+02 4.164101538655017976e+00
